name, ra, dec, dm, dm_err
Aquarius II, 338.4813, -9.3274, 20.16, 0.07
Boötes I, 7.5370833333333, 46.85194444, 19.11, 0.08
Boötes II, 5.9399999999999995, 47.91611111111111, 18.11, 0.06
Canes Venatici I, 17.57125, 47.6280555555, 21.62, 0.05
Canes Venatici II, 11.583333333333332,  33.8013888888888, 21.02, 0.06
Carina I, 4.883749, 35.04361111111, 20.08, 0.08
Carina II, 114.1066, -57.9991, 17.79, 0.05
Carina III, 114.6298, -57.8997, 17.22, 0.10
Coma Berenices I, 1.877916666, 35.13222222, 18.13, 0.08
Crater I, 174.06875, -10.876972222, 20.81, 0.04
Crater II, 177.3, -18.4, 20.25, 0.10
Draco I, 8.300416666666667, 48.50888888888, 19.49, 0.17
Draco II,  238.174, 64.579, 16.66, 0.04
Eridanus II, 11.862499999999997, 34.3747222, 22.8, 0.1
Fornax I, 18.57791666, 38.117, 20.72, 0.04
Grus I, 19.469999999999995, -16.58, 20.4, 0.2
Hercules I, 19.624999, 46.36611111, 20.64, 0.14
Horologium I, 132.8749999, 63.13, 19.6, 0.2
Hydra II, 351.6320833333333, 50.675833333333, 20.89, 0.12
Hydrus I,  37.389, -79.3089, 17.20, 0.04
Leo I, 143.7225, 17.051388888, 22.15, 0.1
Leo II, 0.49249999999999994, -14.539166666666667, 21.76, 0.13
Leo IV, 0.5604166666666666,  45.0888888888, 20.94, 0.07
Leo V, 340.45666666666665, -63.5805555555555, 21.19, 0.06
Phoenix I, 105.12208333333331, -3.79166666666, 23.11, 0.1
Pisces II, 344.6291666666666, 5.95250000000000, 21.31, 0.18
Reticulum II, 331.02, -45.56, 17.5, 0.1
Sagittarius I, 6.639166666666666, -40.14472222222, 17.13, 0.11
Sculptor I, 330.67291666666665, -50.70361111, 19.64, 0.13
Segue 1, 356.3916666666666,  38.717777777, 16.8, 0.2
Segue 2, 351.61458333333326, -31.611111111, 17.8, 0.18
Sextans I, 340.18291666666664, -29.2002777777, 19.67, 0.15
Triangulum II, 342.9795833333333, -57.431111111111, 17.27, 0.1
Tucana II, 213.98541666666662,  23.055277777777, 18.8, 0.2
Tucana III, 298.16875, -21.931944444444, 16.8, 0.1
Ursa Major I, 266.78666666666663, -63.358333333, 19.94, 0.13
Ursa Major II, 216.180833333333, 44.525833333, 17.70, 0.13
Ursa Minor I, 208.6395833333333, 4.243055555555555, 19.40, 0.11
Willman 1, 183.74124999999995, 36.2188888888, 17.90, 0.40
