name,ra,dec,dist,dist_error,pmra,pmra_error1,pmra_error2,pmdec,pmdec_error1,pmdec_error2,pmra_pmdec_corr,rv,rv_error,source
Aquarius II,338.4813,-9.3274,107.8,3.4,-0.25175,0.52646,0.06306,0.01104,0.44844,0.06306,0.13132,-71.1,2.5,Fritz2018
Boötes I,210.02500000000000,14.5,66,2.5,-0.55395,0.09202,0.035,-1.11134,0.06829,0.035,0.16316,99,2.1,Fritz2018
Boötes II,209.499999,12.85,41.7,1.2,-2.68583,0.3894,0.05613,-0.53008,0.28663,0.05613,-0.18584,-117,5.2,Fritz2018
Canes Venatici I,202.014583,33.5558333,210.8,5,-0.15904,0.09365,0.035,-0.06724,0.05358,0.035,0.10501,30.9,0.6,Fritz2018
Canes Venatici II,194.291666666,34.320833,159.8,4.5,-0.34182,0.2318,0.05611,-0.47307,0.16882,0.05611,-0.0056,-128.9,1.2,Fritz2018
Carina I,100.40291666666700,-49.03388888888890,103.9,3.7,0.48489,0.01748,0.035,0.13146,0.01617,0.035,0.08346,229.1,0.1,Fritz2018
Carina II,114.1066,-57.999,36,0.8,1.86729,0.07794,0.035,0.08178,0.07234,0.035,-0.00837,477.2,1.2,Fritz2018
Carina III,114.6298,-57.8997,27.8,1.3,3.04586,0.11947,0.05719,1.56476,0.13528,0.05719,0.06555,284.6,3.4,Fritz2018
Coma Berenices I,186.7458333333330,23.904166666666,42.3,1.5,0.4707,0.10847,0.035,-1.71633,0.10376,0.035,-0.42687,98.1,0.9,Fritz2018
Crater I,174.06875,-10.876972,145.2,2.7,-0.04476,0.28042,0.06278,-0.16496,0.17239,0.06278,-0.18487,149.3,1.2,Fritz2018
Crater II,177.25,-18.4,112.1,5,-0.18358,0.0613,0.035,-0.1058,0.03148,0.035,-0.04096,87.5,0.4,Fritz2018
Draco I,260.051666666666,57.9152777777777,79.3,6.5,-0.01247,0.01342,0.035,-0.1578,0.01483,0.035,0.13141,-291,0.1,Fritz2018
Draco II,238.1983333333330,64.56527777777780,21.5,0.4,1.24152,0.27628,0.05729,0.84478,0.28538,0.05729,-0.59124,-347.6,1.8,Fritz2018
Eridanus II,56.0838,-43.5338,362.7,16.3,0.15886,0.2922,0.05318,0.37222,0.34045,0.05318,-0.25741,75.6,2.4,Fritz2018
Fornax I,39.9970833333333,-33.550833333333,139.4,2.7,0.37449,0.00369,0.035,-0.40094,0.00545,0.035,-0.45962,55.3,0.3,Fritz2018
Grus I,344.1765,-50.1633,120.7,11,-0.26107,0.172,0.04591,-0.4367,0.23767,0.04591,0.24691,-140.5,2.4,Fritz2018
Hercules I,247.7583333333330,12.791666666666,134.7,8.5,-0.29721,0.1181,0.035,-0.32922,0.09381,0.035,0.13638,45,1.1,Fritz2018
Horologium I,43.8820,-54.1188,83.5,7.7,0.89078,0.08791,0.05848,-0.54976,0.07995,0.05848,0.29365,112.8,2.6,Fritz2018
Hydra II,185.4254166666670,-30.01472222222,150.6,8,-0.41562,0.51867,0.06129,0.13404,0.4217,0.06129,-0.42735,303.1,1.4,Fritz2018
